PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC,MeanPrecision
934,236,442,7,18,0.025134233,0.962602448,0.006961514,0.004353169,0.000772,0.992033045,-975.1180242,680.4351403,1.75E-10,0.766764956
861,237,276,7,14,0.012108498,0.960541553,0.025437498,0.001882104,0.000327,0.998525033,-233.5083743,8.937953071,7.75E-10,0.788029651
629,203,467,7,12,0.003694802,0.961935532,0.020811344,0.013102353,0.000432,0.993998546,-118.4634381,673.5575859,3.13E-10,0.832221795
717,287,453,4,16,0.009496664,0.960801399,0.002834125,0.026834379,0.000496,0.998555848,-944.2556938,468.6578011,7.16E-10,0.881579138
619,258,445,4,7,0.006353152,0.950199341,0.039265149,0.00330704,0.000944,0.994590144,-341.3138754,363.4197501,3.05E-10,0.798931389
514,268,326,6,18,0.009352247,0.957285916,0.018257234,0.014993141,0.000531,0.996249606,-187.4722025,785.7012889,1.62E-10,0.774440039
597,291,362,5,16,0.006688925,0.957616511,0.027824671,0.006932705,1.80E-05,0.990373506,-942.020171,398.2531704,7.84E-10,0.818307836
731,241,308,5,16,0.015650559,0.950865485,0.003080455,0.030353475,0.00013,0.991938731,-146.614931,658.0417567,5.02E-10,0.821826604
987,262,456,6,9,0.001771741,0.985404259,0.004872611,0.007031655,0.000633,0.997946454,-751.0134516,990.4754398,6.37E-10,0.863868223
708,212,340,5,10,0.002423809,0.957733926,0.007649977,0.031839144,0.000135,0.996681044,-879.7410347,120.5086142,3.38E-10,0.794536856
719,201,255,3,11,0.008971113,0.956780429,0.006573915,0.027362682,0.000138,0.995194643,-42.27614103,32.71043722,6.52E-10,0.871170529
646,243,423,4,16,0.023209333,0.959971693,0.011816193,0.004334364,0.000238,0.994595911,-350.4966761,639.799261,4.82E-10,0.789498732
970,295,342,6,10,0.001673159,0.959804145,0.010777896,0.026996056,0.000434,0.99748034,-281.3179009,146.3386055,6.05E-10,0.784341309
955,209,262,4,9,0.018144239,0.977512864,0.002480861,0.001612266,0.000572,0.994961484,-319.5773771,786.4936121,7.69E-10,0.912926831
603,293,480,4,7,0.026053915,0.960551009,0.00121609,0.012132791,0.000179,0.996134525,-671.6928299,8.571345016,3.64E-10,0.873425557
673,288,453,7,8,0.010060308,0.95612704,0.02704785,0.006444005,0.000203,0.99624748,-442.1165048,888.5405379,3.09E-10,0.851230719
982,272,294,5,15,0.016232471,0.951963487,0.013435317,0.017506587,0.000765,0.992901651,-45.56775153,197.584648,6.48E-10,0.822983904
893,257,291,4,10,0.017865433,0.959532913,0.014047439,0.007700344,4.30E-05,0.994873263,-127.6854621,669.3315792,5.32E-10,0.826028577
534,234,490,5,9,0.015313119,0.971431339,0.009208426,0.003318848,0.00048,0.99434957,-840.7087305,212.5614962,3.98E-10,0.811555036
505,282,423,3,16,0.011957459,0.960004775,0.00954522,0.018069747,0.000987,0.999592685,-559.4591864,880.2406909,4.82E-10,0.764558021
775,241,316,6,15,0.015367979,0.961800889,0.002622197,0.019277104,0.00024,0.996790705,-989.1609276,353.419687,7.34E-10,0.797762116
852,262,447,3,13,0.013871378,0.965777959,0.011403329,0.008176326,0.000322,0.990861461,-280.872748,984.5226518,7.17E-10,0.762352377
855,270,420,4,7,0.018909353,0.96070825,0.016508645,0.003764004,1.20E-05,0.997107398,-226.1011271,356.7025605,5.04E-10,0.783839754
811,296,437,6,7,0.025076831,0.95671512,0.011331306,0.006186209,0.000242,0.992670853,-488.6624165,530.2196081,3.91E-10,0.867736961
714,209,461,5,12,0.020439335,0.974117747,0.003321044,0.002057223,0.000647,0.999650584,-709.2082921,256.3401252,6.49E-10,0.789961096
