Dataset Name, Population size, Max Generations, TS, Init_dept_low, Init_depth_high, crossover, subtree mutation, Hoist mutation, Point mutation, stopping criteria, max Samples, ConstRange_low, ConstRange_high, parsimony coeff, MeanACC, StdACC, MeanAUC, StdAUC, MeanPrecision, StdPrecision, MeanRecall, StdRecall, MeanF1Score, StdF1Score, depthSE1, depthSE2, depthSE3,  depthSE4, depthSE5, lengthSE1, lengthSE2, lengthSE3,  lengthSE4, lengthSE5
RobustScaler +  BorderlineSMOTE_Class_1,961,255,439,6,7,0.001708348,0.978539237,0.010554617,0.009074416,0.000464,0.996409897,-992.1822559,236.5814439,7.73E-10,0.813068182,0.044886364,0.810141079,0.047102004,0.830320814,0.066154147,0.787338763,0.024860294,0.799556472,0.041661576,30,22,24,38,30,287,180,209,250,141
RobustScaler + KMeansSMOTE_Class_1,719,217,292,4,11,0.027003083,0.951825813,0.004567497,0.015753255,0.000905,0.994674335,-494.2184504,65.56636144,4.40E-10,0.834024782,0.083418721,0.833907129,0.083306324,0.8187066,0.098624919,0.854219511,0.059928987,0.83238872,0.083169662,24,28,46,26,24,302,201,728,219,125
RobustScaler + SMOTE_Class_1,642,266,395,7,12,0.007362004,0.95804998,0.009642009,0.024246366,0.00064,0.998912977,-161.2749312,835.5474305,9.77E-10,0.816477273,0.080113636,0.816646214,0.080042721,0.816364966,0.082060936,0.820990246,0.0748364,0.814659681,0.081673527,31,35,31,26,36,170,141,239,170,319
RobustScaler + SVMSMOTE_Class_1,893,235,379,6,14,0.003598795,0.971978227,0.014211293,0.009899887,0.000772,0.992180148,-729.147733,856.017226,9.02E-10,0.8,0.077272727,0.799254317,0.072162021,0.778276103,0.07154586,0.866147814,0.070882477,0.816425699,0.073831379,23,31,34,31,31,201,215,198,228,138
StandardScaler + ADASYN_CLASS_1,842,219,348,5,11,0.001548491,0.96643418,0.016553139,0.014920153,0.00048,0.999683505,-415.2969231,657.8312551,4.45E-10,0.812790698,0.073255814,0.813719314,0.072886379,0.807669613,0.08044394,0.820726606,0.064487821,0.812571144,0.072741593,40,46,32,34,28,432,472,516,172,338
StandardScaler +  BorderlineSMOTE_Class_1,890,212,320,6,9,0.017473613,0.966491096,0.008454799,0.007346943,0.000559,0.997602003,-791.7780442,226.6913935,2.47E-10,0.829545455,0.065909091,0.832589167,0.062044677,0.836080011,0.045642762,0.830743382,0.086259722,0.821844911,0.075606058,27,23,27,56,41,245,185,775,249,342
StandardScaler + KMeansSMOTE_Class_1,881,238,260,6,11,0.004136896,0.952054194,0.017628987,0.025990488,9.30E-05,0.997030895,-962.6239369,628.1746735,8.19E-10,0.816477273,0.04375,0.817271367,0.043067446,0.839952557,0.057120477,0.787351788,0.024917445,0.807698844,0.042628304,33,29,44,27,36,210,226,477,99,451
StandardScaler + SMOTE_Class_1,853,281,475,7,10,0.017794906,0.960270879,0.019387763,0.001656319,0.000936,0.999026249,-675.5916454,335.8965352,3.78E-10,0.838068182,0.05625,0.840695899,0.053809253,0.858352771,0.046374475,0.802882065,0.077788897,0.825684525,0.064945177,35,54,36,56,49,945,249,332,400,287
StandardScaler + SVMSMOTE_Class_1,514,212,355,7,13,0.021432653,0.953948685,0.020619459,0.003292155,0.000344,0.99155406,-112.2274247,102.2116971,9.83E-10,0.846022727,0.059659091,0.848682634,0.057799121,0.832974788,0.043537734,0.859918635,0.082229412,0.842587229,0.064892516,39,24,47,34,30,874,195,371,409,172
MaxAbsScaler + ADASYN_CLASS_2,977,247,450,3,9,0.012085072,0.958842928,0.002860397,0.026188401,2.90E-05,0.991475076,-940.7899576,284.984138,2.87E-10,0.882847638,0.021686924,0.877380824,0.024004464,0.843653083,0.01653197,0.959465873,0.020773063,0.896562055,0.018680421,19,27,29,25,26,74,194,129,306,349
MaxAbsScaler +  BorderlineSMOTE_Class_2,975,241,354,7,9,0.009429388,0.979661328,0.004513665,0.005838603,0.000736,0.99092322,-32.25254851,477.5495608,7.78E-10,0.86984127,0.019047619,0.870068457,0.018301242,0.816423458,0.027396189,0.958052555,0.002252325,0.879790233,0.015599912,33,18,19,23,46,201,134,186,291,382
MaxAbsScaler + SMOTE_Class_2,762,270,305,6,8,0.016329537,0.954546414,0.026047965,0.00282313,0.000565,0.996217081,-191.0946083,682.7239718,3.12E-10,0.886507937,0.045238095,0.884840444,0.046702659,0.860463146,0.060522144,0.93392544,0.01439505,0.893525381,0.039906965,23,46,42,40,27,449,337,305,196,226
MaxAbsScaler + SVMSMOTE_Class_2,857,239,484,4,13,0.00411745,0.950352954,0.007940163,0.037249061,0.000804,0.992619741,-847.2101804,605.4764588,3.66E-10,0.878854616,0.046847215,0.877205457,0.050715034,0.77306932,0.07861109,0.891362498,0.041037822,0.824305348,0.06432098,38,31,34,24,34,772,647,218,281,466
MinMaxScaler + ADASYN_CLASS_2,763,273,430,5,11,0.015929388,0.976587022,0.002589781,0.004134142,0.000141,0.995435748,-889.8691516,830.3808807,5.55E-10,0.906079036,0.027379599,0.907590403,0.025353133,0.873743187,0.031940376,0.956774776,0.013924097,0.910918372,0.025120256,29,73,39,24,22,469,447,297,119,235
MinMaxScaler +  BorderlineSMOTE_Class_2,702,299,288,6,17,0.022844717,0.951679744,0.019415667,0.005157896,0.000168,0.995990125,-940.4106479,580.1627826,8.05E-10,0.919047619,0.03968254,0.917040432,0.040884046,0.890908844,0.050036712,0.967571928,0.017014562,0.926331155,0.035132971,47,45,32,41,38,1013,831,397,273,635
MinMaxScaler + SMOTE_Class_2,553,287,356,3,14,0.008113633,0.969183836,0.011413731,0.011051355,0.000707,0.990833749,-211.7544673,846.1633246,2.91E-10,0.919444444,0.017857143,0.921121315,0.014853375,0.921252561,0.021600155,0.927893852,0.006567687,0.917480798,0.015975648,43,30,22,33,34,533,229,177,474,515
MinMaxScaler + SVMSMOTE_Class_2,771,289,329,5,14,0.027467024,0.952319752,0.00894044,0.010640882,0.000759,0.995001702,-87.0556781,676.6874956,4.47E-10,0.826279273,0.027693415,0.739667106,0.034882792,0.510778028,0.056665474,0.523701461,0.040065098,0.51675396,0.048802399,41,63,37,40,40,545,1184,825,786,706
